,carat,cut,clarity,depth,table,x,y,z,price,color
7283,0.5,5,2,60.9,57.0,5.16,5.13,3.13,1203,5
7284,1.6,5,5,62.0,56.0,7.47,7.52,4.65,18780,5
7285,1.16,5,6,62.0,56.0,6.75,6.71,4.17,8803,4
7286,0.37,5,4,61.0,56.0,4.64,4.67,2.84,762,6
7287,0.73,3,2,59.3,57.0,5.88,5.95,3.51,2395,6
7288,0.52,4,5,62.6,59.0,5.11,5.08,3.19,1815,4
7289,0.24,3,7,63.1,55.0,3.96,4.0,2.51,485,6
7290,1.01,3,3,62.8,57.0,6.37,6.41,4.01,5499,6
7291,0.31,2,3,63.4,55.0,4.26,4.29,2.71,507,6
7292,1.21,3,5,59.4,60.0,6.9,6.97,4.12,5865,1
7293,0.58,5,6,62.1,57.0,5.32,5.4,3.32,2617,7
7294,0.34,5,4,62.1,54.1,4.47,4.5,2.78,758,6
7295,1.0,5,6,59.7,60.0,6.48,6.52,3.88,9014,5
7296,1.21,2,8,62.1,60.0,6.81,6.87,4.25,6299,2
7297,0.58,2,5,59.0,62.0,5.44,5.48,3.22,1777,4
7298,1.5,2,3,58.9,61.0,7.43,7.5,4.4,11179,6
7299,0.42,4,4,61.0,60.0,4.82,4.85,2.95,958,6
7300,0.57,5,4,61.9,57.0,5.31,5.29,3.28,1949,6
7301,1.31,4,4,60.3,59.0,7.12,7.08,4.28,8979,4
7302,1.0,3,3,61.9,58.0,6.3,6.37,3.92,4953,3
7303,0.41,5,6,60.4,56.0,4.8,4.83,2.91,1007,4
7304,1.01,2,5,63.2,58.0,6.34,6.38,4.02,6499,4
7305,0.9,3,3,58.7,59.0,6.3,6.35,3.71,3447,3
7306,0.57,3,4,62.9,57.0,5.26,5.29,3.32,1851,6
7307,0.4,3,4,60.4,63.0,4.68,4.72,2.84,791,6
7308,0.42,4,3,60.0,59.0,4.85,4.88,2.92,773,5
7309,1.01,4,2,61.9,58.0,6.45,6.41,3.98,3054,1
7310,1.01,3,3,63.6,56.0,6.3,6.37,4.03,6132,6
7311,2.01,3,2,63.3,58.0,8.01,8.05,5.08,15563,4
7312,0.53,5,4,62.3,54.0,5.19,5.21,3.24,1353,3
7313,0.93,4,1,62.3,60.0,6.23,6.2,3.87,2647,6
7314,0.34,4,3,61.2,58.0,4.47,4.49,2.74,626,7
7315,0.9,5,2,62.6,56.0,6.15,6.06,3.82,3200,6
7316,0.31,4,4,59.9,59.0,4.38,4.4,2.63,544,4
7317,0.51,4,4,61.2,60.0,5.17,5.12,3.15,1546,4
7318,0.32,5,5,61.7,56.0,4.41,4.44,2.73,745,6
7319,0.71,5,3,61.3,57.0,5.72,5.79,3.53,2699,5
7320,1.6,2,3,63.6,58.0,7.38,7.44,4.71,12467,6
7321,1.2,5,3,61.9,56.0,6.78,6.82,4.21,6578,3
7322,0.54,4,8,61.9,60.0,5.26,5.21,3.24,2391,5
7323,1.22,5,4,61.3,56.0,6.85,6.88,4.21,8596,3
7324,1.5,3,3,60.2,63.0,7.38,7.33,4.43,7140,1
7325,1.04,5,6,60.9,57.0,6.54,6.6,4.0,11511,7
7326,1.82,4,5,61.4,60.0,7.8,7.83,4.8,13813,1
7327,0.3,3,4,63.1,58.0,4.27,4.23,2.68,630,4
7328,0.41,5,3,62.6,57.0,4.74,4.78,2.98,791,7
7329,0.42,5,8,61.9,56.0,4.81,4.79,2.97,1273,3
7330,0.53,5,3,62.4,55.0,5.21,5.18,3.24,1329,4
7331,1.2,3,3,61.2,62.0,6.75,6.84,4.16,5226,1
7332,0.54,5,5,61.3,57.0,5.25,5.28,3.23,1754,4
7333,0.44,2,4,60.6,64.0,4.97,4.89,2.99,1238,7
7334,1.01,5,5,61.7,59.0,6.44,6.42,3.97,7056,5
7335,1.01,2,3,63.8,59.0,6.32,6.29,4.02,4989,5
7336,0.33,5,4,60.7,55.0,4.48,4.51,2.73,551,3
7337,0.3,3,6,63.2,55.0,4.27,4.3,2.71,754,7
7338,0.38,5,6,61.8,53.7,4.67,4.69,2.89,1073,6
7339,0.71,4,2,61.8,57.0,5.73,5.67,3.52,2271,6
7340,0.77,4,5,62.1,60.0,5.82,5.77,3.6,3343,5
7341,0.36,5,8,62.2,53.0,4.59,4.61,2.86,1029,4
7342,0.31,5,4,62.5,56.0,4.31,4.36,2.71,734,7
7343,2.01,3,2,63.4,56.0,8.09,7.99,5.1,12829,3
7344,0.33,4,7,61.5,59.0,4.42,4.46,2.73,810,4
7345,2.0,5,5,62.0,57.0,8.04,7.99,4.97,17889,1
7346,0.34,5,4,61.0,55.0,4.56,4.58,2.79,628,4
7347,1.5,2,2,61.1,64.0,7.26,7.35,4.46,7722,7
7348,0.41,3,5,62.9,57.0,4.73,4.75,2.98,1151,7
7349,1.65,3,5,60.0,56.0,7.53,7.59,4.68,11823,3
7350,0.81,5,5,62.3,57.0,5.99,5.95,3.72,3544,4
7351,1.0,5,4,62.1,57.0,6.42,6.37,3.97,6612,4
7352,0.9,4,6,58.3,60.0,6.32,6.28,3.67,3931,1
7353,1.04,3,4,63.4,55.0,6.48,6.42,4.09,6232,4
7354,0.32,2,5,63.1,56.0,4.38,4.4,2.77,505,1
7355,0.83,1,2,65.1,59.0,5.84,5.81,3.79,2133,3
7356,0.54,5,5,62.0,53.9,5.22,5.24,3.24,1745,4
7357,0.31,2,4,63.4,56.0,4.29,4.32,2.73,625,5
7358,0.33,4,5,60.9,58.0,4.49,4.45,2.72,1002,6
7359,0.43,4,4,60.2,59.0,4.88,4.92,2.95,1056,7
7360,0.53,5,4,61.8,55.0,5.2,5.24,3.22,1722,7
7361,2.19,4,2,61.7,58.0,8.38,8.28,5.14,17554,3
7362,0.39,3,4,60.9,58.0,4.72,4.77,2.89,793,6
7363,0.41,4,5,62.1,58.0,4.79,4.75,2.96,830,2
7364,2.48,3,2,63.3,56.0,8.6,8.55,5.43,15746,3
7365,1.25,5,2,61.1,55.0,6.95,6.99,4.26,6371,4
7366,0.31,4,4,60.8,58.0,4.37,4.34,2.65,558,1
7367,0.61,3,2,62.9,56.6,5.38,5.45,3.4,1437,5
7368,1.73,4,3,58.0,62.0,7.95,7.91,4.6,13365,5
7369,0.32,4,6,61.6,60.0,4.37,4.41,2.7,926,7
7370,0.5,3,7,62.8,61.0,4.98,5.05,3.15,1448,1
7371,1.25,5,3,62.4,57.0,6.86,6.92,4.3,5252,2
7372,0.3,5,7,61.3,57.0,4.32,4.29,2.64,1069,7
7373,0.41,4,5,60.7,56.0,4.82,4.77,2.91,1076,5
7374,1.07,4,4,61.3,59.0,6.61,6.53,4.03,7751,7
7375,0.5,2,4,59.8,57.0,5.12,5.18,3.08,1395,6
7376,0.76,1,1,64.5,57.0,5.79,5.76,3.73,1140,3
7377,1.0,3,3,63.2,56.0,6.37,6.31,4.01,4088,1
7378,1.61,5,4,62.1,57.0,7.49,7.56,4.67,15819,5
7379,0.63,5,6,61.2,56.0,5.53,5.55,3.39,3351,5
7380,0.59,4,3,62.8,59.0,5.36,5.34,3.36,1217,1
7381,0.7,5,3,62.0,54.0,5.73,5.76,3.56,2726,7
7382,0.44,2,3,58.8,62.0,4.97,5.0,2.93,777,7
7383,0.31,4,5,62.2,58.0,4.38,4.34,2.71,802,4
7384,1.03,1,2,65.2,56.0,6.42,6.35,4.16,3530,1
7385,1.13,5,5,61.9,55.0,6.67,6.7,4.14,6980,1
7386,0.32,5,5,61.1,56.0,4.46,4.44,2.72,720,3
7387,0.5,5,2,62.5,57.0,5.07,5.04,3.16,1240,6
7388,0.6,3,2,63.2,60.0,5.32,5.28,3.35,1250,6
7389,0.7,4,2,62.1,60.0,5.71,5.73,3.55,2299,7
7390,1.08,5,3,61.5,55.0,6.59,6.62,4.06,7672,6
7391,0.7,3,4,63.4,58.0,5.63,5.57,3.55,2338,4
7392,0.7,3,6,59.3,62.0,5.78,5.82,3.44,2905,4
7393,0.9,1,1,62.8,58.0,6.05,5.99,3.92,1939,4
7394,0.31,5,5,62.1,56.0,4.35,4.32,2.69,872,5
7395,1.52,3,5,62.1,57.0,7.27,7.32,4.53,12968,4
7396,0.32,3,5,61.3,62.0,4.39,4.42,2.7,645,4
7397,0.34,5,4,62.4,55.0,4.53,4.48,2.81,956,6
7398,0.33,4,3,60.1,59.0,4.49,4.46,2.69,780,7
7399,1.5,1,3,65.1,59.0,7.1,7.01,4.59,10374,7
7400,1.57,4,3,60.4,59.0,7.57,7.54,4.56,12112,5
7401,1.0,2,5,61.8,61.0,6.4,6.31,3.93,5219,3
7402,0.43,3,6,61.7,56.0,4.84,4.88,2.99,976,4
7403,0.3,3,5,61.2,55.0,4.32,4.34,2.65,610,7
7404,1.03,2,2,57.2,59.0,6.66,6.63,3.8,3743,7
7405,0.5,3,4,63.0,58.0,5.05,5.08,3.19,1436,5
7406,0.51,2,3,64.3,55.0,5.12,5.05,3.27,1624,6
7407,1.51,3,4,60.9,54.0,7.38,7.41,4.5,11077,3
7408,0.44,5,3,62.7,57.0,4.85,4.82,3.03,990,4
7409,0.42,2,6,64.1,57.0,4.7,4.73,3.02,1269,6
7410,0.9,3,4,63.5,56.0,6.12,6.1,3.88,3145,2
7411,1.28,5,6,62.2,56.0,6.95,6.91,4.32,12958,5
7412,1.51,3,5,63.0,59.0,7.28,7.3,4.59,9343,1
7413,0.54,5,4,62.2,57.0,5.21,5.24,3.25,1662,5
7414,0.35,4,7,61.0,58.0,4.52,4.56,2.77,1044,6
7415,0.57,2,4,62.8,62.0,5.22,5.25,3.29,1642,5
7416,0.34,5,4,60.8,57.0,4.52,4.56,2.76,730,7
7417,0.36,4,2,60.9,58.0,4.63,4.6,2.81,689,7
7418,0.24,3,6,62.8,58.0,3.92,3.95,2.47,478,6
7419,0.39,2,8,63.5,56.0,4.65,4.67,2.96,1213,4
7420,0.72,3,4,62.5,59.0,5.69,5.71,3.56,2728,4
7421,0.71,5,2,60.4,56.0,5.79,5.83,3.51,2516,7
7422,1.0,4,3,62.6,60.0,6.32,6.3,3.95,5292,5
7423,1.21,1,2,65.6,59.0,6.62,6.56,4.32,4926,6
7424,0.3,3,2,61.7,61.0,4.29,4.33,2.66,421,6
7425,0.97,4,3,58.0,62.0,6.56,6.48,3.79,3911,3
7426,0.72,3,5,64.0,57.0,5.67,5.71,3.64,2066,2
7427,0.32,5,2,61.7,55.0,4.4,4.38,2.71,612,7
7428,1.68,2,1,64.3,60.0,7.44,7.48,4.8,5765,6
7429,1.04,3,8,61.5,58.0,6.47,6.6,4.03,8225,4
7430,1.15,5,5,62.1,55.0,6.76,6.67,4.18,5626,1
7431,0.33,5,4,61.7,55.9,4.45,4.49,2.75,604,4
7432,1.23,3,4,61.6,59.0,6.84,6.86,4.22,6459,3
7433,1.1,3,3,62.7,58.0,6.54,6.58,4.11,4356,1
7434,0.39,3,4,62.4,58.0,4.61,4.65,2.89,821,5
7435,1.03,5,3,62.4,57.0,6.47,6.52,4.05,4679,4
7436,0.3,3,3,63.2,56.0,4.3,4.27,2.71,675,6
7437,0.48,5,2,62.0,54.0,5.04,5.06,3.13,841,4
7438,0.32,5,6,62.0,54.9,4.36,4.39,2.71,567,1
7439,0.57,3,6,62.2,56.0,5.32,5.35,3.31,1726,3
7440,0.52,4,3,62.7,58.0,5.2,5.16,3.25,1605,7
7441,0.32,5,8,62.0,55.0,4.39,4.42,2.73,814,3
7442,0.32,5,3,62.0,57.0,4.42,4.38,2.73,756,7
7443,0.6,5,3,61.3,56.0,5.49,5.44,3.35,1890,6
7444,1.01,2,2,63.7,59.0,6.28,6.38,4.03,4166,5
7445,0.47,3,3,63.3,60.0,4.98,4.94,3.14,1086,5
7446,0.4,5,7,62.6,56.0,4.7,4.73,2.95,1333,6
7447,1.24,5,4,62.3,57.0,6.95,6.89,4.31,8799,4
7448,1.07,5,6,61.7,57.0,6.61,6.55,4.06,10288,6
7449,0.51,3,5,62.3,56.0,5.1,5.13,3.18,1628,3
7450,0.4,3,5,62.1,57.0,4.69,4.72,2.92,606,2
7451,1.24,4,3,62.4,59.0,6.82,6.86,4.27,7351,7
7452,0.32,5,3,62.1,54.0,4.4,4.42,2.74,532,6
7453,0.55,3,5,61.2,56.4,5.28,5.33,3.25,1975,5
7454,0.39,5,6,62.0,55.0,4.68,4.7,2.91,794,3
7455,0.41,3,3,63.2,56.0,4.74,4.72,2.99,1015,6
7456,0.38,5,7,62.4,54.0,4.66,4.7,2.92,1096,5
7457,0.41,2,8,63.6,54.0,4.72,4.75,3.01,827,2
7458,1.5,4,4,61.8,60.0,7.37,7.3,4.53,15240,7
7459,0.9,3,5,62.7,56.0,6.15,6.2,3.87,3964,3
7460,1.51,5,4,61.8,55.0,7.43,7.39,4.58,12626,4
7461,0.7,2,6,64.3,56.0,5.57,5.63,3.6,1922,2
7462,1.12,4,5,58.4,58.0,6.87,6.84,4.0,7338,4
7463,0.33,4,5,62.3,58.0,4.41,4.45,2.76,666,4
7464,1.6,5,4,60.1,57.0,7.65,7.59,4.58,13853,5
7465,0.32,4,8,61.6,58.0,4.39,4.38,2.7,1170,6
7466,1.3,5,6,62.4,56.1,6.97,7.02,4.36,11633,4
7467,1.21,2,5,59.5,65.0,6.88,6.84,4.08,6871,3
7468,2.01,4,2,59.8,58.0,8.21,8.15,4.89,15977,4
7469,0.42,5,2,61.1,55.0,4.82,4.86,2.96,660,7
7470,0.3,5,8,62.0,54.4,4.3,4.32,2.67,830,4
7471,0.33,4,7,61.5,59.0,4.46,4.42,2.73,1040,4
7472,1.01,4,4,62.1,58.0,6.42,6.34,3.96,6425,6
7473,0.7,5,4,61.9,56.0,5.68,5.7,3.52,3253,4
7474,1.06,3,3,59.3,60.0,6.64,6.71,3.96,6062,7
7475,1.33,5,3,62.7,56.0,7.04,6.99,4.4,7217,3
7476,1.22,5,3,61.6,57.0,6.89,6.81,4.22,6559,4
7477,0.46,5,3,61.2,56.0,4.97,5.0,3.05,1299,3
7478,0.44,3,5,59.7,59.0,4.94,5.01,2.97,1090,6
7479,0.34,4,4,61.0,59.0,4.48,4.51,2.74,745,6
7480,2.03,5,2,61.6,55.0,8.19,8.14,5.03,18578,5
7481,0.31,3,5,63.0,58.0,4.29,4.32,2.71,489,1
7482,0.29,5,7,60.9,57.0,4.29,4.32,2.62,669,5
7483,0.3,3,3,62.6,58.0,4.22,4.28,2.66,421,3
7484,0.9,2,7,64.2,56.0,6.07,6.02,3.88,6124,5
7485,0.28,5,5,61.4,56.0,4.2,4.24,2.59,487,6
7486,0.72,3,5,62.8,58.0,5.71,5.73,3.59,2066,2
7487,1.5,5,4,61.9,56.0,7.33,7.31,4.53,15584,5
7488,1.24,4,4,62.1,55.0,6.91,6.87,4.28,5889,1
7489,0.33,3,6,62.3,56.0,4.4,4.44,2.75,893,6
7490,0.55,5,3,61.4,55.0,5.29,5.26,3.24,1668,6
7491,1.27,2,4,63.3,63.0,6.82,6.87,4.33,5923,1
7492,0.38,5,4,61.5,55.0,4.67,4.7,2.88,813,6
7493,0.4,4,6,61.7,59.0,4.76,4.73,2.93,1050,4
7494,1.53,4,6,62.5,60.0,7.34,7.31,4.58,15505,4
7495,0.31,5,3,61.0,56.0,4.38,4.41,2.68,530,3
7496,0.34,5,1,61.4,55.0,4.52,4.5,2.77,530,7
7497,0.54,5,4,61.1,57.0,5.24,5.26,3.21,1825,6
7498,0.34,5,3,61.7,56.0,4.52,4.49,2.78,765,6
7499,0.35,5,3,61.3,54.0,4.51,4.56,2.78,472,1
7500,0.89,2,3,64.3,55.0,6.12,6.01,3.9,3663,5
7501,1.04,5,2,61.4,56.0,6.5,6.56,4.01,4804,6
7502,0.7,5,3,61.2,55.0,5.74,5.76,3.52,3119,5
7503,0.39,3,7,57.8,59.0,4.85,4.9,2.82,767,2
7504,0.85,5,3,62.2,56.0,6.04,6.09,3.77,3670,4
7505,0.77,4,3,60.9,58.0,5.94,5.88,3.6,2896,6
7506,1.53,4,4,60.1,58.0,7.6,7.57,4.71,11087,3
7507,0.24,5,5,62.7,54.0,3.99,4.02,2.51,572,5
7508,1.4,4,3,62.1,60.0,7.21,7.12,4.45,8133,3
7509,1.04,5,6,62.1,55.1,6.5,6.51,4.04,8012,4
7510,2.0,3,4,62.0,62.0,8.17,8.2,4.8,15923,1
7511,0.7,2,4,59.7,57.0,5.75,5.8,3.45,2347,3
7512,0.58,4,5,61.8,55.0,5.39,5.35,3.32,2192,6
7513,0.31,5,4,61.2,55.0,4.39,4.37,2.68,942,7
7514,1.33,5,5,61.3,57.0,7.11,7.08,4.35,6118,2
7515,0.38,5,7,61.9,53.7,4.66,4.67,2.89,1245,6
7516,1.03,4,2,61.8,59.0,6.47,6.42,3.98,4845,6
7517,0.33,5,5,61.6,57.0,4.46,4.41,2.73,668,1
7518,0.9,2,2,63.8,59.0,6.02,6.05,3.85,3303,4
7519,0.3,5,7,62.0,54.0,4.35,4.36,2.7,764,4
7520,0.54,3,3,62.1,58.0,5.21,5.23,3.24,1662,7
7521,0.42,3,3,63.5,54.0,4.76,4.72,3.01,829,1
7522,0.52,2,5,61.0,61.0,5.22,5.17,3.17,1419,5
7523,0.42,5,4,62.1,54.0,4.8,4.83,2.99,1031,7
7524,0.92,5,4,62.2,55.0,6.21,6.27,3.88,4568,3
7525,0.31,5,7,61.7,57.0,4.38,4.34,2.69,1046,4
7526,0.32,4,6,60.7,59.0,4.43,4.4,2.68,720,1
7527,0.4,5,5,61.8,55.0,4.67,4.71,2.93,947,6
7528,0.3,3,7,61.3,56.0,4.34,4.37,2.67,691,4
7529,2.31,4,5,62.3,61.0,8.55,8.43,5.29,17451,2
7530,1.02,4,7,62.1,59.0,6.39,6.36,3.96,8005,4
7531,1.06,4,3,58.4,61.0,6.73,6.69,3.92,5535,5
7532,0.31,3,6,60.0,62.0,4.4,4.44,2.65,707,4
7533,0.9,5,3,62.6,56.0,6.16,6.23,3.88,3841,4
7534,0.34,5,6,61.9,57.0,4.48,4.44,2.76,995,4
7535,0.5,5,3,62.3,56.0,5.06,5.12,3.17,1410,6
7536,0.32,5,7,61.1,55.0,4.46,4.48,2.73,796,4
7537,2.02,3,2,63.5,57.0,7.94,8.02,5.07,11475,2
7538,1.51,3,4,63.7,60.0,7.2,7.24,4.6,13012,5
7539,1.65,4,3,61.0,58.0,7.66,7.62,4.66,11864,4
7540,1.21,5,4,62.6,55.0,6.81,6.74,4.24,6261,5
7541,1.5,3,2,62.7,59.0,7.22,7.3,4.55,8167,6
7542,1.61,3,4,59.4,58.0,7.64,7.74,4.57,11627,3
7543,0.4,5,6,61.4,56.0,4.76,4.79,2.93,1240,1
7544,1.43,5,6,61.6,54.0,7.25,7.29,4.48,10129,3
7545,1.25,3,2,62.1,57.0,6.73,6.65,4.25,4060,3
7546,0.32,5,5,61.6,56.0,4.38,4.42,2.71,645,4
7547,1.03,4,4,61.6,61.0,6.51,6.44,3.99,5364,3
7548,0.57,4,2,61.2,57.0,5.35,5.31,3.26,1414,6
7549,0.54,5,6,61.4,52.0,5.3,5.34,3.26,2897,7
7550,1.23,3,3,60.5,58.0,6.9,6.94,4.19,5763,1
7551,1.03,5,2,61.8,56.0,6.49,6.46,4.0,4454,5
7552,1.06,5,6,61.1,56.0,6.58,6.59,4.02,11209,7
7553,0.26,5,4,62.1,57.0,4.06,4.12,2.54,453,5
7554,0.65,3,6,61.3,59.0,5.51,5.61,3.41,2178,4
7555,0.38,5,6,61.8,54.2,4.66,4.69,2.89,1073,6
7556,0.3,5,4,62.0,54.0,4.33,4.35,2.69,545,4
7557,1.73,4,2,61.1,62.0,7.64,7.54,4.64,7270,1
7558,0.37,5,4,61.2,56.0,4.62,4.66,2.84,603,1
7559,1.12,5,6,62.0,55.0,6.67,6.69,4.14,8773,4
7560,0.38,5,6,61.3,56.4,4.67,4.71,2.88,929,4
7561,0.5,3,3,62.3,58.0,5.06,5.08,3.16,1153,4
7562,1.4,5,3,62.4,56.0,7.11,7.18,4.46,8075,3
7563,0.9,4,2,62.6,60.0,6.18,6.09,3.84,3599,6
7564,0.72,4,5,62.7,56.0,5.76,5.69,3.59,3601,7
7565,1.54,5,5,62.2,59.0,7.34,7.38,4.58,8848,2
7566,0.32,3,3,60.4,61.0,4.39,4.42,2.66,524,6
7567,2.17,4,1,60.7,59.0,8.43,8.35,5.09,9078,5
7568,1.52,4,3,62.6,59.0,7.27,7.36,4.58,11637,5
7569,0.41,5,4,61.5,55.0,4.78,4.81,2.95,743,3
7570,0.9,3,8,63.1,58.0,6.18,6.09,3.87,5670,4
7571,0.36,4,3,60.4,58.0,4.64,4.6,2.79,851,7
7572,1.51,3,8,62.2,62.0,7.3,7.33,4.55,12291,1
7573,0.31,4,7,61.8,59.0,4.35,4.33,2.68,959,5
7574,0.4,5,6,62.0,56.0,4.74,4.77,2.95,807,1
7575,1.04,4,3,62.2,60.0,6.48,6.44,4.02,5300,5
7576,0.6,5,7,62.9,56.0,5.39,5.43,3.35,1715,1
7577,0.3,5,3,62.3,53.9,4.28,4.31,2.68,499,5
7578,0.5,3,5,63.0,56.0,5.02,5.05,3.17,1410,3
7579,1.5,5,3,61.0,57.0,7.38,7.41,4.51,12009,4
7580,1.07,5,3,60.2,57.0,6.7,6.59,4.0,5453,4
7581,0.73,5,7,61.7,57.0,5.77,5.8,3.57,4182,4
7582,1.75,3,2,60.7,57.0,7.78,7.83,4.74,12012,7
7583,0.36,3,3,60.8,59.0,4.56,4.59,2.78,631,6
7584,0.32,4,4,61.5,58.0,4.42,4.39,2.71,828,5
7585,0.32,4,4,62.9,59.0,4.39,4.36,2.75,842,7
7586,0.55,4,7,61.1,57.0,5.35,5.26,3.24,1980,3
7587,1.42,3,5,62.7,55.0,7.11,7.17,4.48,11452,4
7588,1.53,3,3,61.9,56.0,7.45,7.32,4.57,12621,5
7589,0.41,5,7,61.1,56.0,4.8,4.82,2.94,1608,6
7590,0.5,4,2,62.1,57.0,5.12,5.09,3.17,1279,7
7591,0.3,5,5,61.3,55.0,4.32,4.36,2.66,570,5
7592,0.33,5,2,61.4,57.0,4.44,4.48,2.74,413,5
7593,0.32,5,2,62.4,54.0,4.4,4.38,2.74,612,7
7594,2.18,5,2,62.5,55.0,8.31,8.34,5.2,15706,1
7595,1.2,3,4,63.1,55.0,6.75,6.8,4.26,8454,5
7596,0.7,5,7,61.6,55.0,5.72,5.75,3.53,3073,4
7597,0.41,4,6,62.1,58.0,4.76,4.78,2.96,827,1
7598,0.71,3,5,63.3,59.0,5.52,5.61,3.52,2768,4
7599,0.9,4,6,62.4,58.0,6.15,6.12,3.83,4657,3
7600,0.3,2,4,63.5,54.0,4.27,4.3,2.72,473,3
7601,0.31,5,4,59.9,57.0,4.4,4.38,2.63,558,1
7602,0.75,2,1,64.0,59.0,5.78,5.62,3.66,1013,5
7603,0.66,3,4,60.9,57.0,5.63,5.65,3.43,1841,3
7604,1.02,5,2,61.4,56.0,6.47,6.5,3.98,4578,5
7605,0.3,3,8,62.9,58.0,4.26,4.29,2.69,789,3
7606,0.5,3,3,63.1,59.0,5.02,4.96,3.15,1181,3
7607,1.35,3,4,61.7,59.0,7.05,7.09,4.36,6884,1
7608,0.51,5,4,62.7,57.0,5.12,5.05,3.19,1546,4
7609,0.5,5,4,62.7,55.0,5.08,5.12,3.2,1451,6
7610,0.9,3,3,61.6,57.0,6.19,6.25,3.83,4463,6
7611,1.3,5,4,61.9,55.0,7.04,7.01,4.35,9225,4
7612,0.3,5,3,62.3,56.0,4.29,4.32,2.68,499,6
7613,0.34,5,7,61.1,56.0,4.5,4.53,2.76,1174,5
7614,0.3,2,5,63.7,56.0,4.28,4.26,2.72,731,5
7615,1.0,3,3,62.3,59.0,6.26,6.29,3.91,5342,7
7616,0.91,3,2,63.8,60.0,6.05,6.09,3.87,3751,6
7617,0.51,5,5,61.1,56.0,5.11,5.16,3.14,1438,3
7618,0.32,5,5,61.8,53.0,4.41,4.43,2.73,516,3
7619,2.02,4,2,61.4,60.0,8.15,8.05,4.98,14790,5
7620,0.7,5,2,61.3,58.0,5.67,5.69,3.48,2234,4
7621,0.31,5,7,61.6,56.0,4.34,4.36,2.68,903,5
7622,0.38,5,4,61.6,57.0,4.62,4.66,2.86,743,4
7623,1.51,4,6,62.6,59.0,7.31,7.33,4.58,8770,2
7624,0.3,5,5,60.8,58.0,4.31,4.34,2.63,742,7
7625,0.3,5,6,62.2,57.0,4.25,4.3,2.66,655,4
7626,1.19,4,3,62.7,56.0,6.76,6.7,4.22,5802,3
7627,0.42,5,7,60.6,56.0,4.86,4.88,2.95,1179,4
7628,0.31,5,8,60.9,56.0,4.37,4.4,2.67,914,5
7629,0.55,2,5,63.8,61.0,5.09,5.12,3.26,969,2
7630,0.95,2,2,59.7,57.0,6.41,6.45,3.84,3750,5
7631,1.5,4,1,61.5,58.0,7.38,7.2,4.5,4032,6
7632,1.17,1,1,61.2,59.0,6.67,6.47,4.25,2336,1
7633,0.93,3,2,61.9,57.0,6.25,6.31,3.89,3452,3
7634,1.51,4,2,62.7,55.0,7.37,7.28,4.59,7766,1
7635,1.01,5,5,62.6,57.0,6.37,6.4,4.0,5777,3
7636,0.38,3,3,62.1,54.0,4.64,4.67,2.9,755,4
7637,0.32,4,4,62.3,57.0,4.39,4.37,2.73,648,3
7638,0.59,4,6,62.3,55.0,5.42,5.33,3.35,1886,3
7639,1.01,2,3,64.2,58.0,6.24,6.29,4.02,4339,5
7640,0.97,5,1,61.6,54.0,6.34,6.28,3.89,2370,2
7641,0.34,5,5,61.3,55.0,4.52,4.55,2.78,898,4
7642,0.71,3,2,60.9,56.0,5.8,5.83,3.54,2036,5
7643,0.27,5,4,61.0,55.0,4.18,4.2,2.56,577,6
7644,0.7,3,4,60.2,57.0,5.77,5.82,3.49,2593,6
7645,2.21,5,2,61.9,55.0,8.4,8.36,5.19,18276,4
7646,1.51,3,4,62.4,59.0,7.26,7.36,4.56,14709,6
7647,0.51,5,7,61.0,57.0,5.17,5.19,3.16,1933,4
7648,1.01,5,5,62.8,57.0,6.42,6.38,4.02,3991,1
7649,1.5,1,4,64.5,59.0,7.2,7.07,4.6,5846,2
7650,0.31,5,4,60.8,57.0,4.39,4.36,2.66,802,5
7651,0.42,5,4,61.5,55.0,4.83,4.86,2.98,961,7
7652,0.3,4,7,59.4,59.0,4.26,4.29,2.64,868,5
7653,1.01,4,4,59.2,59.0,6.59,6.52,3.88,6108,4
7654,0.31,5,4,61.2,55.0,4.42,4.37,2.69,942,7
7655,1.27,5,3,60.6,57.0,7.07,7.0,4.26,6785,3
7656,0.41,5,7,60.3,56.0,4.8,4.85,2.91,1295,5
7657,0.7,4,4,61.7,58.0,5.69,5.63,3.49,2838,5
7658,0.79,4,4,62.3,58.0,5.92,5.89,3.68,2959,4
7659,1.5,2,3,63.8,59.0,7.21,7.11,4.57,8736,1
7660,1.05,4,8,59.0,58.0,6.7,6.66,3.94,11946,6
7661,0.63,1,3,64.6,57.7,5.36,5.41,3.47,1952,6
7662,0.7,5,4,61.5,57.0,5.7,5.74,3.52,3253,4
7663,0.3,5,4,61.4,54.0,4.36,4.31,2.66,675,4
7664,0.57,3,6,62.6,58.0,5.32,5.38,3.34,1902,5
7665,0.7,3,2,60.9,59.0,5.7,5.76,3.49,1603,1
7666,0.32,4,8,61.8,55.0,4.45,4.39,2.73,1020,4
7667,0.3,5,4,63.0,55.0,4.29,4.28,2.7,673,5
7668,0.35,4,3,62.1,58.0,4.51,4.54,2.81,644,7
7669,0.41,5,6,61.7,56.0,4.81,4.78,2.96,1192,5
7670,0.7,5,5,62.0,59.0,5.68,5.71,3.53,2648,3
7671,0.36,4,2,61.5,58.0,4.56,4.61,2.82,505,6
7672,1.05,5,6,60.5,55.0,6.67,6.58,4.01,10011,5
7673,0.71,5,4,61.6,56.0,5.74,5.76,3.54,2891,6
